source,doi,linked_in_crossref,europepmc_id,linked_in_europepmc,linked_in_biorxiv_medrxiv
medRxiv,8092,87,8079,1210,8091
SSRN,4236,0,1334,66,0
Research Square,4225,245,3637,361,0
bioRxiv,2402,213,2402,502,2402
JMIR,1191,490,0,0,0
Preprints.org,1023,195,874,161,0
Authorea,981,0,0,0,0
OSF Preprints,758,43,0,0,0
PsyArXiv (OSF),727,60,0,0,0
ChemRxiv,435,38,131,12,0
SocArXiv (OSF),313,29,0,0,0
SciELO,251,0,0,0,0
SAGE,95,6,0,0,0
Copernicus GmbH,52,4,0,0,0
EdArXiv (OSF),49,5,0,0,0
Techrxiv (IEEE),47,1,0,0,0
WHO,45,0,0,0,0
ScienceOpen,34,0,0,0,0
Cambridge University Press,33,0,0,0,0
engrXiv (OSF),32,1,0,0,0
ESSOAR,24,7,0,0,0
AfricArXiv (OSF),20,1,0,0,0
IndiaRxiv (OSF),19,0,0,0,0
Frenxiv (OSF),18,2,0,0,0
MetaArXiV (OSF),12,0,0,0,0
EcoEvoRxiv (OSF),11,0,0,0,0
SportRxiv (OSF),11,1,0,0,0
LawArXiv (OSF),8,0,0,0,0
NutriXiv (OSF),6,0,0,0,0
BioHackrXiv (OSF),4,0,0,0,0
MediArXiv (OSF),3,1,0,0,0
AgriXiv (OSF),2,0,0,0,0
INA-Rxiv (OSF),2,0,0,0,0
