source,identifier,posted_date,is_preprint_of,preprint_of_doi,is_published_CSHL,published_doi_CSHL
bioRxiv,10.1101/2020.06.18.157933,2020-06-19,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.05.026187,2020-04-05,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.20.050088,2020-04-20,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.28.120709,2020-05-28,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.01.24.919159,2020-01-25,is_preprint_of,10.3390/jcm9020498,TRUE,10.3390/jcm9020498
bioRxiv,10.1101/2020.10.17.339051,2020-10-18,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.11.25.398909,2020-11-25,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.10.28.355305,2020-10-28,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.01.183020,2020-07-02,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.07.27.223172,2020-07-27,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.06.02.130849,2020-06-03,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.08.11.245696,2020-08-11,is_preprint_of,10.1017/qrd.2020.16,TRUE,10.1017/qrd.2020.16
bioRxiv,10.1101/2020.10.13.308676,2020-10-13,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.11.294330,2020-09-12,is_preprint_of,10.1016/j.antiviral.2020.104974,TRUE,10.1016/j.antiviral.2020.104974
bioRxiv,10.1101/2020.11.10.375022,2020-11-10,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.14.041319,2020-04-17,is_preprint_of,10.12688/wellcomeopenres.15937.1,TRUE,10.12688/wellcomeopenres.15937.1
bioRxiv,10.1101/2020.10.27.357426,2020-10-27,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.10.29.361287,2020-10-30,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.28.051789,2020-04-29,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.07.082925,2020-05-07,is_preprint_of,10.1016/j.jviromet.2020.113991,TRUE,10.1016/j.jviromet.2020.113991
bioRxiv,10.1101/2020.10.14.339986,2020-10-15,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.24.113423,2020-05-25,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.09.11.293258,2020-09-11,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.11.13.370387,2020-11-14,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.08.10.243980,2020-08-10,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.08.11.232520,2020-08-11,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.16.099176,2020-05-16,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.04.10.036335,2020-04-12,NA,NA,FALSE,NA
bioRxiv,10.1101/2020.05.12.092163,2020-05-13,is_preprint_of,10.1093/bib/bbaa231,TRUE,10.1093/bib/bbaa231
bioRxiv,10.1101/2020.09.10.292318,2020-09-11,NA,NA,FALSE,NA
