epmc_doi,epmc_id,epmc_source,epm_links,epm_links_id,epm_links_source,epm_links_type
10.22541/au.160654691.18675261/v1,PPR245819,PPR,0,NA,NA,NA
10.22541/au.160631468.83127386/v1,PPR244620,PPR,0,NA,NA,NA
10.22541/au.160773180.07642887/v1,PPR252552,PPR,0,NA,NA,NA
10.22541/au.160614382.20766935/v1,PPR244709,PPR,0,NA,NA,NA
10.22541/au.160674527.74156706/v1,PPR247186,PPR,0,NA,NA,NA
10.22541/au.160645684.48145888/v1,PPR245684,PPR,0,NA,NA,NA
10.22541/au.160654690.05977025/v1,PPR245820,PPR,0,NA,NA,NA
10.22541/au.160562672.26680417/v1,PPR244876,PPR,0,NA,NA,NA
10.22541/au.160588470.04232396/v1,PPR244764,PPR,0,NA,NA,NA
10.22541/au.160672869.91140335/v1,PPR246456,PPR,0,NA,NA,NA
10.22541/au.160659191.19443051/v1,PPR245809,PPR,0,NA,NA,NA
10.22541/au.160646408.88851236/v1,PPR245676,PPR,0,NA,NA,NA
10.22541/au.160673226.66738260/v1,PPR246454,PPR,0,NA,NA,NA
10.22541/au.160646412.24677267/v1,PPR245674,PPR,0,NA,NA,NA
10.22541/au.160578736.68156883/v1,PPR244807,PPR,0,NA,NA,NA
10.22541/au.160776187.78854537/v1,PPR252856,PPR,0,NA,NA,NA
10.22541/au.160571540.02057981/v1,PPR244830,PPR,0,NA,NA,NA
10.22541/au.160637401.18473878/v1,PPR244612,PPR,0,NA,NA,NA
10.22541/au.160674692.22857990/v1,PPR246443,PPR,0,NA,NA,NA
10.22541/au.160597263.32837900/v1,PPR244741,PPR,0,NA,NA,NA
10.22541/au.160563832.21435147/v1,PPR244867,PPR,0,NA,NA,NA
10.22541/au.160639753.31036000/v1,PPR244591,PPR,0,NA,NA,NA
10.22541/au.160689244.41003643/v1,PPR247900,PPR,0,NA,NA,NA
10.22541/au.160571164.40187395/v1,PPR244834,PPR,0,NA,NA,NA
10.22541/au.160673585.52596009/v1,PPR246451,PPR,0,NA,NA,NA
10.22541/au.160684625.54943545/v1,PPR247141,PPR,0,NA,NA,NA
10.22541/au.160581796.64897366/v1,PPR244787,PPR,0,NA,NA,NA
10.22541/au.160778854.40787640/v1,PPR252921,PPR,0,NA,NA,NA
10.22541/au.160734344.45295921/v1,PPR249852,PPR,0,NA,NA,NA
10.22541/au.160684078.83449304/v1,PPR247151,PPR,0,NA,NA,NA
10.22541/au.160641728.81361594/v1,PPR245138,PPR,0,NA,NA,NA
10.22541/au.160637959.91957970/v1,PPR244609,PPR,0,NA,NA,NA
10.22541/au.160554794.41545816/v1,PPR244907,PPR,0,NA,NA,NA
10.22541/au.160770440.01726562/v1,PPR252556,PPR,0,NA,NA,NA
10.22541/au.160642275.57561401/v1,PPR245135,PPR,0,NA,NA,NA
10.22541/au.160770263.30907582/v1,PPR252558,PPR,0,NA,NA,NA
10.22541/au.160702908.84293841/v1,PPR248731,PPR,0,NA,NA,NA
10.22541/au.160681178.85156984/v1,PPR247173,PPR,0,NA,NA,NA
10.22541/au.160615100.03456559/v1,PPR244698,PPR,0,NA,NA,NA
10.22541/au.160746016.62711326/v1,PPR250468,PPR,0,NA,NA,NA
10.22541/au.160768745.52792441/v1,PPR252562,PPR,0,NA,NA,NA
