identifier,relationType,relatedIdentifier,relatedIdentifierType,resourceTypeGeneral
10.6084/m9.figshare.12931697.v2,IsIdenticalTo,10.6084/m9.figshare.12931697,DOI,NA
10.6084/m9.figshare.12967280.v1,IsIdenticalTo,10.6084/m9.figshare.12967280,DOI,NA
10.6084/m9.figshare.13048895.v1,IsIdenticalTo,10.6084/m9.figshare.13048895,DOI,NA
10.6084/m9.figshare.13101461.v1,IsIdenticalTo,10.6084/m9.figshare.13101461,DOI,NA
10.6084/m9.figshare.13166588.v1,IsIdenticalTo,10.6084/m9.figshare.13166588,DOI,NA
10.6084/m9.figshare.13206167.v1,IsIdenticalTo,10.6084/m9.figshare.13206167,DOI,NA
10.6084/m9.figshare.13140656.v1,IsIdenticalTo,10.6084/m9.figshare.13140656,DOI,NA
10.6084/m9.figshare.13079093.v1,IsIdenticalTo,10.6084/m9.figshare.13079093,DOI,NA
10.6084/m9.figshare.12985436.v1,IsIdenticalTo,10.6084/m9.figshare.12985436,DOI,NA
10.6084/m9.figshare.13060778.v1,IsPreviousVersionOf,10.6084/m9.figshare.13060778,DOI,NA
10.6084/m9.figshare.12315470.v8,IsPreviousVersionOf,10.6084/m9.figshare.12315470,DOI,NA
10.13140/rg.2.2.16455.93607/1,IsNewVersionOf,10.13140/rg.2.2.16455.93607,DOI,NA
10.13140/rg.2.2.24892.18561/1,IsNewVersionOf,10.13140/rg.2.2.24892.18561,DOI,NA
10.13140/rg.2.2.27893.81125/2,IsNewVersionOf,10.13140/rg.2.2.27893.81125/1,DOI,NA
10.13140/rg.2.2.13274.77762/2,IsNewVersionOf,10.13140/rg.2.2.13274.77762/1,DOI,NA
10.13140/rg.2.2.32467.60963/2,IsNewVersionOf,10.13140/rg.2.2.32467.60963/1,DOI,NA
10.13140/rg.2.2.16661.76003/3,IsNewVersionOf,10.13140/rg.2.2.16661.76003/2,DOI,NA
10.13140/rg.2.2.25367.80807/3,IsNewVersionOf,10.13140/rg.2.2.25367.80807/2,DOI,NA
10.13140/rg.2.2.10809.80488/4,IsNewVersionOf,10.13140/rg.2.2.10809.80488/3,DOI,NA
10.13140/rg.2.2.11931.08481/1,IsNewVersionOf,10.13140/rg.2.2.11931.08481,DOI,NA
10.13140/rg.2.2.12733.08165/1,IsNewVersionOf,10.13140/rg.2.2.12733.08165,DOI,NA
10.13140/rg.2.2.36424.06407/1,IsNewVersionOf,10.13140/rg.2.2.36424.06407,DOI,NA
10.13140/rg.2.2.31039.74405/1,IsNewVersionOf,10.13140/rg.2.2.31039.74405,DOI,NA
10.13140/rg.2.2.18883.63522/1,IsNewVersionOf,10.13140/rg.2.2.18883.63522,DOI,NA
10.13140/rg.2.2.21819.64807/1,IsNewVersionOf,10.13140/rg.2.2.21819.64807,DOI,NA
10.13140/rg.2.2.14230.98883/1,IsNewVersionOf,10.13140/rg.2.2.14230.98883,DOI,NA
10.13140/rg.2.2.11985.35680/3,IsNewVersionOf,10.13140/rg.2.2.11985.35680/2,DOI,NA
10.13140/rg.2.2.22121.52326/1,IsNewVersionOf,10.13140/rg.2.2.22121.52326,DOI,NA
10.13140/rg.2.2.14934.47680/1,IsNewVersionOf,10.13140/rg.2.2.14934.47680,DOI,NA
10.13140/rg.2.2.34561.48483/2,IsNewVersionOf,10.13140/rg.2.2.34561.48483/1,DOI,NA
10.13140/rg.2.2.24935.27040/1,IsNewVersionOf,10.13140/rg.2.2.24935.27040,DOI,NA
10.13140/rg.2.2.20482.09920/1,IsNewVersionOf,10.13140/rg.2.2.20482.09920,DOI,NA
10.13140/rg.2.2.22977.99687/1,IsNewVersionOf,10.13140/rg.2.2.22977.99687,DOI,NA
10.13140/rg.2.2.34099.17445/1,IsNewVersionOf,10.13140/rg.2.2.34099.17445,DOI,NA
