source,identifier,posted_date,is_preprint_of,preprint_of_doi
AfricArXiv (OSF),10.31730/osf.io/fgj3u,2021-01-19,is_preprint_of,10.11604/pamj.2021.38.142.28172
AfricArXiv (OSF),10.31730/osf.io/m8jg4,2020-05-22,NA,NA
AfricArXiv (OSF),10.31730/osf.io/3rp97,2020-07-03,NA,NA
AfricArXiv (OSF),10.31730/osf.io/e7bk4,2020-04-02,NA,NA
AfricArXiv (OSF),10.31730/osf.io/phxqd,2020-09-21,NA,NA
AfricArXiv (OSF),10.31730/osf.io/b7eqj,2020-04-28,NA,NA
AfricArXiv (OSF),10.31730/osf.io/zc5em,2020-07-03,NA,NA
AfricArXiv (OSF),10.31730/osf.io/v896x,2021-01-13,NA,NA
AfricArXiv (OSF),10.31730/osf.io/vd5m3,2021-01-20,NA,NA
AfricArXiv (OSF),10.31730/osf.io/vnx2b,2021-02-02,NA,NA
AfricArXiv (OSF),10.31730/osf.io/65b8f,2020-05-02,NA,NA
AfricArXiv (OSF),10.31730/osf.io/k86p3,2020-08-04,NA,NA
AfricArXiv (OSF),10.31730/osf.io/qtmc3,2020-08-26,NA,NA
AfricArXiv (OSF),10.31730/osf.io/ybne7,2021-02-27,NA,NA
AfricArXiv (OSF),10.31730/osf.io/m3tc2,2020-05-21,NA,NA
AfricArXiv (OSF),10.31730/osf.io/3gbp8,2020-09-11,NA,NA
AfricArXiv (OSF),10.31730/osf.io/srwx3,2020-06-17,NA,NA
AfricArXiv (OSF),10.31730/osf.io/sw6g2,2020-04-30,NA,NA
AfricArXiv (OSF),10.31730/osf.io/cu2h3,2020-05-01,is_preprint_of,10.1016/j.ssaho.2020.100052
AfricArXiv (OSF),10.31730/osf.io/6wx42,2020-12-29,NA,NA
AfricArXiv (OSF),10.31730/osf.io/vzxaj,2020-10-22,NA,NA
AfricArXiv (OSF),10.31730/osf.io/k7hsm,2021-01-07,NA,NA
AfricArXiv (OSF),10.31730/osf.io/dmsjb,2020-09-22,NA,NA
AfricArXiv (OSF),10.31730/osf.io/e6c9z,2020-10-21,NA,NA
AfricArXiv (OSF),10.31730/osf.io/sy54p,2020-03-10,NA,NA
AfricArXiv (OSF),10.31730/osf.io/szt7u,2020-09-21,NA,NA
AfricArXiv (OSF),10.31730/osf.io/wqxd6,2021-02-27,NA,NA
AfricArXiv (OSF),10.31730/osf.io/tdbgu,2020-06-17,NA,NA
AgriXiv (OSF),10.31220/osf.io/qhwau,2020-05-18,NA,NA
AgriXiv (OSF),10.31220/osf.io/rbgfw,2020-05-12,NA,NA
Authorea,10.22541/au.160614900.06870227/v1,2020-11-23,NA,NA
Authorea,10.22541/au.160529102.22048022/v1,2020-11-13,NA,NA
Authorea,10.22541/au.161148258.83074885/v1,2021-01-24,NA,NA
Authorea,10.22541/au.160883060.08977291/v1,2020-12-24,NA,NA
