source,identifier,posted_date,is_preprint_of,preprint_of_doi,published_date,published_journal,published_publisher,delay_in_days
AfricArXiv (OSF),10.31730/osf.io/m8jg4,2020-05-22,NA,NA,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/3rp97,2020-07-03,NA,NA,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/e7bk4,2020-04-02,NA,NA,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/phxqd,2020-09-21,NA,NA,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/b7eqj,2020-04-28,NA,NA,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/zc5em,2020-07-03,NA,NA,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/65b8f,2020-05-02,NA,NA,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/k86p3,2020-08-04,NA,NA,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/qtmc3,2020-08-26,NA,NA,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/m3tc2,2020-05-21,NA,NA,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/3gbp8,2020-09-11,NA,NA,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/srwx3,2020-06-17,NA,NA,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/sw6g2,2020-04-30,NA,NA,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/cu2h3,2020-05-01,is_preprint_of,10.1016/j.ssaho.2020.100052,2020-08-26,Social Sciences & Humanities Open,Elsevier BV,117
AfricArXiv (OSF),10.31730/osf.io/dmsjb,2020-09-22,NA,NA,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/sy54p,2020-03-10,NA,NA,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/szt7u,2020-09-21,NA,NA,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/tdbgu,2020-06-17,NA,NA,NA,NA,NA,NA
AgriXiv (OSF),10.31220/osf.io/qhwau,2020-05-18,NA,NA,NA,NA,NA,NA
AgriXiv (OSF),10.31220/osf.io/rbgfw,2020-05-12,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158878871.12257772,2020-05-06,NA,NA,NA,NA,NA,NA
Authorea,10.22541/au.158872310.09789807,2020-05-05,NA,NA,NA,NA,NA,NA
