source,identifier,identifier_clean,posted_date,linked_cr,linked_cshl,linked_epmc,in_epmc
AfricArXiv (OSF),10.31730/osf.io/m8jg4,10.31730/osf.io/m8jg4,2020-05-22,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/3rp97,10.31730/osf.io/3rp97,2020-07-03,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/e7bk4,10.31730/osf.io/e7bk4,2020-04-02,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/phxqd,10.31730/osf.io/phxqd,2020-09-21,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/b7eqj,10.31730/osf.io/b7eqj,2020-04-28,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/zc5em,10.31730/osf.io/zc5em,2020-07-03,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/65b8f,10.31730/osf.io/65b8f,2020-05-02,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/k86p3,10.31730/osf.io/k86p3,2020-08-04,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/qtmc3,10.31730/osf.io/qtmc3,2020-08-26,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/m3tc2,10.31730/osf.io/m3tc2,2020-05-21,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/3gbp8,10.31730/osf.io/3gbp8,2020-09-11,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/srwx3,10.31730/osf.io/srwx3,2020-06-17,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/sw6g2,10.31730/osf.io/sw6g2,2020-04-30,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/cu2h3,10.31730/osf.io/cu2h3,2020-05-01,linked_cr,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/6wx42,10.31730/osf.io/6wx42,2020-12-29,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/vzxaj,10.31730/osf.io/vzxaj,2020-10-22,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/k7hsm,10.31730/osf.io/k7hsm,2021-01-07,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/dmsjb,10.31730/osf.io/dmsjb,2020-09-22,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/e6c9z,10.31730/osf.io/e6c9z,2020-10-21,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/sy54p,10.31730/osf.io/sy54p,2020-03-10,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/szt7u,10.31730/osf.io/szt7u,2020-09-21,NA,NA,NA,NA
AfricArXiv (OSF),10.31730/osf.io/tdbgu,10.31730/osf.io/tdbgu,2020-06-17,NA,NA,NA,NA
AgriXiv (OSF),10.31220/osf.io/qhwau,10.31220/osf.io/qhwau,2020-05-18,NA,NA,NA,NA
AgriXiv (OSF),10.31220/osf.io/rbgfw,10.31220/osf.io/rbgfw,2020-05-12,NA,NA,NA,NA
Authorea,10.22541/au.160614900.06870227/v1,10.22541/au.160614900.06870227,2020-11-23,NA,NA,NA,in_epmc
Authorea,10.22541/au.160529102.22048022/v1,10.22541/au.160529102.22048022,2020-11-13,NA,NA,NA,in_epmc
Authorea,10.22541/au.160883060.08977291/v1,10.22541/au.160883060.08977291,2020-12-24,NA,NA,NA,NA
Authorea,10.22541/au.158878871.12257772,10.22541/au.158878871.12257772,2020-05-06,NA,NA,NA,NA
Authorea,10.22541/au.158872310.09789807,10.22541/au.158872310.09789807,2020-05-05,NA,NA,NA,NA
Authorea,10.22541/au.159741658.86367851,10.22541/au.159741658.86367851,2020-08-14,NA,NA,NA,NA
Authorea,10.22541/au.159969834.49964606,10.22541/au.159969834.49964606,2020-09-10,NA,NA,NA,NA
Authorea,10.22541/au.160654691.18675261/v1,10.22541/au.160654691.18675261,2020-11-28,NA,NA,NA,in_epmc
Authorea,10.22541/au.158880210.04246573,10.22541/au.158880210.04246573,2020-05-06,NA,NA,NA,NA
Authorea,10.22541/au.160631468.83127386/v1,10.22541/au.160631468.83127386,2020-11-25,NA,NA,NA,in_epmc
Authorea,10.22541/au.160891885.58128798/v1,10.22541/au.160891885.58128798,2020-12-25,NA,NA,NA,in_epmc
Authorea,10.22541/au.159559746.62867088,10.22541/au.159559746.62867088,2020-07-24,NA,NA,NA,NA
Authorea,10.22541/au.159894372.27318515,10.22541/au.159894372.27318515,2020-09-01,NA,NA,NA,NA
Authorea,10.22541/au.160157553.33111289,10.22541/au.160157553.33111289,2020-10-01,NA,NA,NA,NA
Authorea,10.22541/au.160709131.16697113/v1,10.22541/au.160709131.16697113,2020-12-04,NA,NA,NA,NA
Authorea,10.22541/au.159076950.07819469,10.22541/au.159076950.07819469,2020-05-29,NA,NA,NA,NA
Authorea,10.22541/au.159423187.79355238,10.22541/au.159423187.79355238,2020-07-08,NA,NA,NA,NA
Authorea,10.22541/au.160275979.91541585/v1,10.22541/au.160275979.91541585,2020-10-15,NA,NA,NA,NA
Authorea,10.22541/au.160495476.61426369/v1,10.22541/au.160495476.61426369,2020-11-09,NA,NA,NA,NA
Authorea,10.22541/au.160391885.55654525/v1,10.22541/au.160391885.55654525,2020-10-28,NA,NA,NA,NA
Authorea,10.22541/au.158990737.70211874,10.22541/au.158990737.70211874,2020-05-19,NA,NA,NA,NA
Authorea,10.22541/au.160573569.91884563/v1,10.22541/au.160573569.91884563,2020-11-18,NA,NA,NA,NA
Authorea,10.22541/au.158921558.89142213,10.22541/au.158921558.89142213,2020-05-11,NA,NA,NA,NA
Authorea,10.22541/au.159294169.97530983,10.22541/au.159294169.97530983,2020-06-23,NA,NA,NA,NA
Authorea,10.22541/au.159170773.34049082,10.22541/au.159170773.34049082,2020-06-09,NA,NA,NA,NA
Authorea,10.22541/au.159131062.20905011,10.22541/au.159131062.20905011,2020-06-04,NA,NA,NA,NA
Authorea,10.22541/au.159542954.41887883,10.22541/au.159542954.41887883,2020-07-22,NA,NA,NA,NA
Authorea,10.22541/au.158990738.86709492,10.22541/au.158990738.86709492,2020-05-19,NA,NA,NA,NA
Authorea,10.22541/au.158880275.58007464,10.22541/au.158880275.58007464,2020-05-06,NA,NA,NA,NA
Authorea,10.22541/au.159986554.47692678,10.22541/au.159986554.47692678,2020-09-11,NA,NA,NA,NA
Authorea,10.22541/au.158930969.93127851,10.22541/au.158930969.93127851,2020-05-12,NA,NA,NA,NA
Authorea,10.22541/au.160491846.63265573/v1,10.22541/au.160491846.63265573,2020-11-09,NA,NA,NA,NA
Authorea,10.22541/au.160439962.25324371/v1,10.22541/au.160439962.25324371,2020-11-03,NA,NA,NA,NA
Authorea,10.22541/au.160253855.53010053/v1,10.22541/au.160253855.53010053,2020-10-12,NA,NA,NA,NA
Authorea,10.22541/au.159301689.99888105,10.22541/au.159301689.99888105,2020-06-24,NA,NA,NA,NA
Authorea,10.22541/au.160157379.92719550,10.22541/au.160157379.92719550,2020-10-01,NA,NA,NA,NA
Authorea,10.22541/au.158990707.76386302,10.22541/au.158990707.76386302,2020-05-19,NA,NA,NA,NA
Authorea,10.22541/au.160865954.47397443/v1,10.22541/au.160865954.47397443,2020-12-22,NA,NA,NA,in_epmc
Authorea,10.22541/au.159164638.85113749,10.22541/au.159164638.85113749,2020-06-08,NA,NA,NA,NA
Authorea,10.22541/au.160253844.43876548/v1,10.22541/au.160253844.43876548,2020-10-12,NA,NA,NA,NA
Authorea,10.22541/au.158888269.99516371,10.22541/au.158888269.99516371,2020-05-07,NA,NA,NA,NA
Authorea,10.22541/au.160773180.07642887/v1,10.22541/au.160773180.07642887,2020-12-12,NA,NA,NA,in_epmc
Authorea,10.22541/au.159294210.03412860,10.22541/au.159294210.03412860,2020-06-23,NA,NA,NA,NA
Authorea,10.22541/au.159730575.57910143,10.22541/au.159730575.57910143,2020-08-13,NA,NA,NA,NA
Authorea,10.22541/au.159855498.83102902,10.22541/au.159855498.83102902,2020-08-27,NA,NA,NA,NA
Authorea,10.22541/au.159862963.38790118,10.22541/au.159862963.38790118,2020-08-28,NA,NA,NA,NA
Authorea,10.22541/au.159103584.43919710,10.22541/au.159103584.43919710,2020-06-01,NA,NA,NA,NA
Authorea,10.22541/au.159060406.62926017,10.22541/au.159060406.62926017,2020-05-27,NA,NA,NA,NA
Authorea,10.22541/au.160133611.16772830,10.22541/au.160133611.16772830,2020-09-28,NA,NA,NA,NA
Authorea,10.22541/au.159043142.20201327,10.22541/au.159043142.20201327,2020-05-25,NA,NA,NA,NA
Authorea,10.22541/au.160651442.26328444/v1,10.22541/au.160651442.26328444,2020-11-27,NA,NA,NA,NA
Authorea,10.22541/au.159413095.53207251,10.22541/au.159413095.53207251,2020-07-07,NA,NA,NA,NA
Authorea,10.22541/au.159363317.74148611,10.22541/au.159363317.74148611,2020-07-01,NA,NA,NA,NA
Authorea,10.22541/au.159309960.08923226,10.22541/au.159309960.08923226,2020-06-25,NA,NA,NA,NA
Authorea,10.22541/au.160396940.06060173/v1,10.22541/au.160396940.06060173,2020-10-29,NA,NA,NA,NA
Authorea,10.22541/au.159542509.98333661,10.22541/au.159542509.98333661,2020-07-22,NA,NA,NA,NA
Authorea,10.22541/au.160349176.67670206/v1,10.22541/au.160349176.67670206,2020-10-23,NA,NA,NA,NA
Authorea,10.22541/au.159249626.66882930,10.22541/au.159249626.66882930,2020-06-18,NA,NA,NA,NA
Authorea,10.22541/au.160968257.71855237/v1,10.22541/au.160968257.71855237,2021-01-03,NA,NA,NA,in_epmc
Authorea,10.22541/au.160614382.20766935/v1,10.22541/au.160614382.20766935,2020-11-23,NA,NA,NA,in_epmc
Authorea,10.22541/au.160439256.65774306/v1,10.22541/au.160439256.65774306,2020-11-03,NA,NA,NA,NA
Authorea,10.22541/au.159467786.65145375,10.22541/au.159467786.65145375,2020-07-13,NA,NA,NA,NA
Authorea,10.22541/au.160916141.19338451/v1,10.22541/au.160916141.19338451,2020-12-28,NA,NA,NA,in_epmc
Authorea,10.22541/au.159110364.44447300,10.22541/au.159110364.44447300,2020-06-02,NA,NA,NA,NA
Authorea,10.22541/au.159164712.26678297,10.22541/au.159164712.26678297,2020-06-08,NA,NA,NA,NA
Authorea,10.22541/au.158938520.09115828,10.22541/au.158938520.09115828,2020-05-13,NA,NA,NA,NA
Authorea,10.22541/au.158894536.67758964,10.22541/au.158894536.67758964,2020-05-08,NA,NA,NA,NA
Authorea,10.22541/au.159724507.79126312,10.22541/au.159724507.79126312,2020-08-12,NA,NA,NA,NA
Authorea,10.22541/au.160551786.66158359/v1,10.22541/au.160551786.66158359,2020-11-16,NA,NA,NA,NA
Authorea,10.22541/au.159188496.63290789,10.22541/au.159188496.63290789,2020-06-11,NA,NA,NA,NA
Authorea,10.22541/au.159551272.27480372,10.22541/au.159551272.27480372,2020-07-23,NA,NA,NA,NA
Authorea,10.22541/au.158871576.67742806,10.22541/au.158871576.67742806,2020-05-05,NA,NA,NA,NA
Authorea,10.22541/au.160029803.32072850,10.22541/au.160029803.32072850,2020-09-16,NA,NA,NA,NA
Authorea,10.22541/au.159863560.01026689,10.22541/au.159863560.01026689,2020-08-28,NA,NA,NA,NA
Authorea,10.22541/au.159000337.72124559,10.22541/au.159000337.72124559,2020-05-20,NA,NA,NA,NA
Authorea,10.22541/au.159110382.24488715,10.22541/au.159110382.24488715,2020-06-02,NA,NA,NA,NA
Authorea,10.22541/au.160960281.18431735/v1,10.22541/au.160960281.18431735,2021-01-02,NA,NA,NA,in_epmc
Authorea,10.22541/au.159069201.16257121,10.22541/au.159069201.16257121,2020-05-28,NA,NA,NA,NA
